net-update-time  	IT-update-time 	build-connect-time 	owl-update-time

1 hosts
59	31290	1	189	
70	31270	0	150	
60	31290	1	129	
56	31285	1	122	
55	31294	0	108	
54	31279	1	122	
63	31284	1	97	
56	31267	0	89	

4host
280	41870	2	972	
70	41653	1	249	
267	41881	1	197	
69	41660	1	168	
70	41651	1	131	
65	41658	1	119	
61	41662	0	116	
57	41647	1	126	
61	41673	1	117	
62	41667	0	89	

5host
277	52225	2	981	
73	51982	1	254	
70	52024	2	225	
74	52098	1	157	
66	52016	1	163	
63	52013	1	135	
63	52029	1	138	
82	52024	0	107	
74	52009	1	119	
70	52009	1	99	

6host
472	63228	3	1147	
90	62585	1	327	
77	62455	1	257	
69	62498	1	175	
66	62470	1	148	
55	62484	1	175	
70	62456	1	116	
55	62471	1	116	
66	62503	2	109	
56	62498	1	131	

7host
930	74047	4	1552	
79	72969	2	291	
75	72922	2	233	
67	72955	1	183	
72	72933	1	162	
71	73143	0	134	
250	72928	1	124	
68	72910	1	114	
57	72959	1	121	
62	72900	1	117	

8host
499	84154	1	1865	
82	83310	1	312	
86	83287	1	241	
74	83288	1	211	
79	83310	1	218	
79	83287	1	139	
69	83293	1	130	
77	83294	2	127	
73	83275	2	127	
70	83411	2	138	

9host
718	94609	3	1765	
89	93745	2	419	
84	93735	2	323	
75	93719	1	209	
80	93764	2	158	
83	93725	1	161	
79	93687	1	146	
75	93725	1	147	
84	93810	1	131	
89	93744	1	194	

Mininet
0hosts
255	5	2	843	
64	0	0	212	
57	0	0	126	
59	0	1	135	
57	0	0	88	
123	0	0	83	
49	0	0	79	
48	0	0	98	
52	0	0	72	
48	0	0	71	
49	0	0	69	

1hosts
304	10896	2	963	
66	10333	1	206	
67	10337	1	168	
59	10339	1	136	
60	10352	0	117	
82	10335	1	111	
55	10360	0	108	
64	10335	1	78	
52	10337	1	85	
49	10335	1	81	
56	10339	0	75	

2hosts
284	20933	2	936	
73	20677	1	230	
68	20732	1	187	
60	20704	1	148	
61	20701	1	132	
62	20675	1	121	
65	20662	1	110	
56	20693	1	103	
62	20683	1	122	
63	20697	1	99	
60	20689	1	87	

3hosts
297	31345	4	1006	
78	31006	1	295	
73	31041	2	210	
67	31029	2	165	
69	31015	1	128	
60	31046	1	130	
57	30993	1	127	
67	31012	2	99	
62	31038	2	93	
65	31335	1	94	
63	31010	1	86	

4hosts
345	41791	3	1051	
81	41352	2	251	
72	41360	2	225	
73	41334	2	143	
71	41350	2	134	
74	41362	2	138	
69	41357	1	107	
73	41358	1	99	
69	41366	2	92	
66	41343	1	102	
63	41342	1	100	

5hosts
326	52118	3	1047	
82	51717	2	339	
85	51666	3	214	
74	51710	2	159	
74	51721	1	161	
76	51695	2	127	
72	51689	1	127	
69	51696	2	117	
71	51692	0	111	
71	51696	1	96	
78	51700	2	98	

6hosts
394	64660	5	1064	
85	62061	4	318	
82	62083	2	237	
84	62064	2	194	
78	62104	2	185	
76	62181	2	165	
78	62040	2	138	
77	62065	1	123	
78	62072	2	122	
73	62038	2	118	
75	62020	2	114	

7hosts
308	72758	3	1172	
91	72470	2	340	
88	72474	3	248	
81	72401	2	263	
82	72404	2	162	
83	72398	2	158	
77	72352	2	165	
78	72440	2	141	
78	72394	2	128	
374	72376	2	130	
79	72397	3	128	

8hosts
323	83242	5	1315	
97	82825	3	352	
95	82787	4	250	
86	82789	2	256	
87	82808	2	169	
83	82776	2	168	
78	82759	2	149	
96	82794	2	142	
85	82748	3	149	
87	82759	2	147	
